user_id,target,name,sex,dob,location,location_population,location_from,location_from_population,occupation,hobbies,daily_commute,friends_number,relationship_status,education,credit_card_type
388,0,Eligiusz,male,1967-07-19,Łódź,690422,Łódź,690422,"Subsistence farmers, fishers, hunters and gatherers","Stone skipping,Letterboxing",91,314,,4,American Express
389,0,Jagoda,female,,Siemianowice Śląskie,67523,Lublin,339850,Information and communications technology professionals,"Running,Lego building,Calligraphy",79,241,Married,3,Visa
390,0,Iwona,female,1990-11-09,Przeworsk,15452,Łódź,690422,Health professionals,"Shooting,Foraging",28,192,Married,3,Visa
391,1,Emanuela,,1997-09-28,Wrocław,638586,Wrocław,638586,Assemblers,"Crossfit,Yoga",89,153,Single,,Visa
392,0,Bogdan,male,1968-05-02,Połaniec,8181,Tychy,128211,Street and related sales and service workers,"Rowing,Sports,Water sports",84,64,,2,Visa
393,0,Aurela,female,1964-05-28,Skierniewice,48308,Nowy Sącz,84041,"Metal, machinery and related trades workers","Bodybuilding,BASE jumping,Polo,Rafting",97,176,,3,Visa
394,0,Felicja,female,,Białogard,24368,Białogard,24368,Business and administration professionals,"Crocheting,Soapmaking",27,178,In relationship,4,Mastercard
395,0,Aurela,female,1994-04-26,Ruda Śląska,138578,Nysa,44397,Numerical and material recording clerks,,27,218,Married,2,Mastercard
396,0,Alina,female,1984-09-06,Bydgoszcz,352313,Bydgoszcz,352313,Other clerical support workers,Mountain biking,,218,In relationship,3,Visa
397,0,Ingeborga,female,1960-11-15,Łódź,690422,Giżycko,29480,Other clerical support workers,Beekeeping,19,307,Married,5,Mastercard
398,1,Aurelian,male,1999-10-12,Legnica,100324,Brzeg,36110,Non-commissioned armed forces officers,"Power bike,Kettleballs,Bodybuilding,Sewing,Bodybuilding,Dance",3,203,Married,4,Mastercard
399,0,Dorota,female,1981-02-03,Strzelce Krajeńskie,10012,Będzin,57343,Market-oriented skilled agricultural workers,"Bodybuilding,Drawing,Sketching",0,50,In relationship,3,Visa
400,0,Felicja,female,1977-05-08,Poręba,8581,Kielce,196804,"Armed forces occupations, other ranks","Blacksmithing,Scouting,Running",57,146,Divorced,5,Visa
401,0,Gerhard,male,1982-05-31,Ostrów Wielkopolski,72364,Ostrów Wielkopolski,72364,Handicraft and printing workers,Squash,71,469,Married with kids,4,Visa
402,1,Gaweł,male,1952-03-28,Dzierżoniów,33653,Gdańsk,464254,Electrical and electronic trades workers,Gym,31,270,Married,,Revolut
403,0,Alicja,female,1969-12-23,Gdańsk,464254,Elbląg,120895,"Legal, social and cultural professionals",,,223,Married,1,Visa
404,0,Jadwiga,female,1974-04-07,Zakopane,27266,Białystok,297288,Business and administration professionals,"Gym,Reading,Listening to music",25,245,Married with kids,4,Mastercard
405,0,Brygida,female,1978-02-06,Szczecin,403883,Szczecin,403883,Personal care workers,Amateur radio,,102,In relationship,3,Visa
406,0,Feliks,male,1966-12-06,Kalisz,101625,Szczecin,403883,Commissioned armed forces officers,"Cosplaying,Flower arranging,Sculpting",79,250,In relationship,3,Visa
407,0,Izolda,female,1980-01-02,Warszawa,1764615,Mysłowice,74647,"Hospitality, retail and other services managers","Quilting,Inline skating",13,246,Married with kids,3,Mastercard
408,0,Celestyn,male,1966-09-05,Lublin,339850,Lubin,72892,Health associate professionals,Book restoration,97,216,In relationship,4,Visa
409,0,Irena,female,1958-10-09,Jastrowie,8662,Opole,128140,"Legal, social and cultural professionals","Stretching,Woodworking,Community",28,116,Married with kids,4,
410,0,Andrzej,male,1970-10-01,Rzeszów,189662,Rzeszów,189662,Science and engineering associate professionals,"Table tennis,Do it yourself",74,223,In relationship,,Mastercard
411,0,Elżbieta,female,1977-05-08,Gdynia,246306,Gdynia,246306,Protective services workers,Cabaret,71,225,Married with kids,2,Visa
412,0,Hubert,male,1971-07-20,Będzin,57343,Będzin,57343,Health professionals,"Power bike,Juggling,Sewing",43,313,Married with kids,3,Mastercard
413,0,Beata,female,1994-10-25,Lędziny,16819,Lędziny,16819,Health associate professionals,"Fitness,Skydiving",56,175,Married,3,Visa
414,0,Dymitr,,1965-04-11,Kłodzko,27193,Kłodzko,27193,Production and specialised services managers,"Fitness,Wood carving,Flying disc",58,334,Divorced,5,Revolut
415,0,Bernardeta,,,Murowana Goślina,10391,Mielec,60628,"Armed forces occupations, other ranks","Lockpicking,Drawing,Foreign language learning",,20,Married,3,Mastercard
416,0,Emil,male,1976-05-16,Dobrzyca,3153,Pyrzyce,12709,Market-oriented skilled agricultural workers,"Photography,Kayaking,Board sports",88,235,In relationship,3,Mastercard
417,1,Faustyna,female,1998-12-24,Oława,32883,Częstochowa,224376,Handicraft and printing workers,"Power bike,Cardio,Kettleballs,Knitting,Pottery,Mushroom hunting",16,124,Single,3,Visa
418,0,Angelina,female,1981-07-25,Kowalewo Pomorskie,4192,Kowalewo Pomorskie,4192,Assemblers,,31,428,Married,2,Mastercard
419,0,Filip,male,1962-04-25,Łódź,690422,Ełk,61523,General and keyboard clerks,"Fitness,Skydiving,Stone skipping",,144,Divorced,,Mastercard
420,0,Apolinary,male,1991-08-05,Krynica-Zdrój,10757,Krynica-Zdrój,10757,Customer services clerks,Crossfit,99,213,Single,3,Mastercard
421,1,Eugeniusz,male,1986-06-15,Prochowice,3646,Wschowa,14084,Non-commissioned armed forces officers,"Badminton,Playing musical instruments",99,241,Single,4,Visa
422,0,Barbara,female,1988-10-16,Gdańsk,464254,Gdańsk,464254,Science and engineering associate professionals,Kite flying,,101,Married with kids,4,Mastercard
423,0,Jagoda,,1986-12-11,Olkusz,35921,Olkusz,35921,"Legal, social and cultural professionals","Gym,Power bike,Ghost hunting,Lacemaking,Candle making",77,24,In relationship,,Mastercard
424,1,Edmund,male,2000-01-26,Bydgoszcz,352313,Katowice,296262,"Agricultural, forestry and fishery labourers","Kettleballs,amateur radio,Lego building",51,236,In relationship,3,Mastercard
425,0,Gracjan,male,1943-04-25,Wronki,11293,Wronki,11293,Information and communications technicians,"Gym,Rock climbing,Computer programming",61,338,Single,4,
426,0,Honorata,female,1995-07-12,Warszawa,1764615,Żywiec,31560,Information and communications technicians,"Power bike,Parkour",28,334,In relationship,,Mastercard
427,0,Cecylia,female,1957-01-11,Namysłów,16360,Namysłów,16360,"Legal, social and cultural professionals","Ice skating,Reading,Computer programming",58,286,Married with kids,4,Mastercard
428,0,Bogdan,male,1965-08-22,Gdańsk,464254,Warszawa,1764615,Other clerical support workers,"Drama,Sand art,Handball",97,92,Married with kids,5,Visa
429,0,Cecyl,male,1996-05-12,Żyrardów,40243,Żyrardów,40243,"Legal, social and cultural professionals","Web surfing,Rafting,Board games",33,45,Single,4,Mastercard
430,0,Brunon,male,1993-07-28,Skierniewice,48308,Skierniewice,48308,Street and related sales and service workers,Squash,68,189,Single,4,Mastercard
431,0,Genowefa,female,1962-04-30,Toruń,202562,Gniezno,68943,Sales workers,,76,177,Married with kids,3,Mastercard
432,0,Ambroży,male,,Wągrowiec,25607,Wągrowiec,25607,"Legal, social, cultural and related associate professionals","role-playing games,Scouting,Board games",,159,Single,6,Visa
433,0,Bartłomiej,male,,Pobiedziska,9139,Pobiedziska,9139,Health professionals,"Flying disc,Parkour",85,319,In relationship,,Visa
434,0,Dymitr,male,1951-01-05,Kępno,14190,Zdzieszowice,11633,"Chief executives, senior officials and legislators","amateur radio,Woodworking,Backpacking",9,305,In relationship,5,
435,0,Ariadna,female,1993-03-20,Nowy Targ,33361,Chrzanów,37123,Production and specialised services managers,"Squash,Mountain biking,Paintball",32,191,Married,4,Mastercard
436,0,Cezary,male,1996-05-29,Gdynia,246306,Gdynia,246306,"Metal, machinery and related trades workers","Stretching,Pottery",61,121,In relationship,4,Mastercard
437,0,Adelajda,female,1966-09-24,Bytom,168394,Szczytno,23500,Other clerical support workers,,88,267,Married,2,Visa
438,0,Cecylia,female,1999-09-28,Piotrków Trybunalski,74312,Piotrków Trybunalski,74312,Production and specialised services managers,"Gunsmithing,Sewing,Geocaching",11,89,In relationship,3,Mastercard
439,0,Alberta,female,,Wrocław,638586,Wrocław,638586,Administrative and commercial managers,,65,101,In relationship,6,Mastercard
440,0,Greta,female,1965-11-29,Radom,214566,Radom,214566,Handicraft and printing workers,"Flower arranging,Mountain biking",15,307,In relationship,5,Mastercard
441,0,Gerwazy,male,1974-04-28,Gdańsk,464254,Gdańsk,464254,Other clerical support workers,"Pottery,Archery",95,252,In relationship,4,Visa
442,0,Bolesław,male,1967-08-08,Łódź,690422,Gryfino,21393,Stationary plant and machine operators,"Badminton,Blacksmithing",,474,Married with kids,6,Visa
443,0,Edward,male,1969-06-28,Przemyśl,61808,Jarosław,37892,"Building and related trades workers, excluding electricians",Knife making,40,126,In relationship,4,Mastercard
444,0,Izolda,female,1975-10-17,Pruszcz Gdański,30468,Tarnowskie Góry,61262,Health associate professionals,"Cardio,Crossfit,Ghost hunting,Juggling",87,218,Married,2,Mastercard
445,0,Bernardyn,male,1970-03-04,Trzcianka,17228,Trzcianka,17228,Customer services clerks,Gym,97,70,Divorced,2,Mastercard
446,0,Fryderyka,female,1970-03-04,Miastko,10605,Ostrowiec Świętokrzyski,69852,Food preparation assistants,"Electronics,Book restoration,Ice skating",87,148,Married,3,Revolut
447,0,Emiliana,female,1982-02-08,Lublin,339850,Lublin,339850,Non-commissioned armed forces officers,"Nordic skating,Stone skipping,Book restoration",84,128,Married with kids,3,Visa
448,1,Alberta,female,2000-08-04,Kościan,23907,Kościan,23907,Street and related sales and service workers,Whittling,21,258,Single,4,Mastercard
449,0,Alberta,female,1947-03-25,Wieleń,5988,Wieleń,5988,Assemblers,,58,328,,3,Visa
450,0,Arletta,female,1978-03-15,Warszawa,1764615,Warszawa,1764615,Personal care workers,,50,261,Married,,Revolut
451,0,Arletta,female,1981-05-19,Zamość,64354,Zamość,64354,Business and administration professionals,"Cardio,Bird watching,Knitting,Urban exploration",24,264,In relationship,5,Mastercard
452,0,Arlena,female,1961-01-16,Świnoujście,41032,Świnoujście,41032,Protective services workers,"Quilting,BASE jumping,Water sports",42,182,,,
453,0,Egon,male,1986-05-02,Września,30279,Września,30279,Street and related sales and service workers,"Stretching,Power bike,Skiing,Sports",,323,Married with kids,1,Visa
454,0,Dymitr,male,,Marki,32686,Marki,32686,Street and related sales and service workers,Yoga,68,234,In relationship,2,Visa
455,0,Diana,female,1958-12-19,Marki,32686,Poznań,538633,Refuse workers and other elementary workers,"Orienteering,Painting",70,208,Single,4,Mastercard
456,0,Alberta,female,1990-04-27,Lublin,339850,Lublin,339850,"Hospitality, retail and other services managers","Fitness,Swimming,Inline skating,Amateur radio",55,236,In relationship,4,
457,0,Gerhard,male,1999-06-17,Radomsko,46409,Radomsko,46409,"Legal, social, cultural and related associate professionals","Lego building,Orienteering,Knife making",22,354,,,Mastercard
458,0,Angelika,female,,Sochaczew,36790,Zabrze,174349,"Chief executives, senior officials and legislators",scrapbook,40,0,Married,,
459,0,Arleta,female,1979-12-24,Pruszków,61237,Legnica,100324,"Legal, social, cultural and related associate professionals",Vehicle restoration,94,247,Married,5,Visa
460,0,Hieronim,male,1970-07-15,Łowicz,28704,Łowicz,28704,Protective services workers,"Crossfit,Kettleballs",69,294,Married,3,Mastercard
461,1,Edmund,male,1963-07-18,Bielawa,30207,Bielawa,30207,Commissioned armed forces officers,,44,261,Single,4,Mastercard
462,1,Hilary,male,1979-06-02,Kraków,767348,Trzemeszno,7752,Science and engineering associate professionals,"Cardio,Kettleballs,Digital arts",89,187,Single,,Visa
463,0,Apolonia,female,1983-03-09,Tarnobrzeg,47387,Marki,32686,"Legal, social, cultural and related associate professionals",Bodybuilding,52,278,In relationship,1,Visa
464,0,Elżbieta,female,1976-12-12,Gdańsk,464254,Bielsko-Biała,171505,"Hospitality, retail and other services managers","Stretching,Sculpting,Book restoration,Geocaching",29,142,,3,Mastercard
465,0,Arkady,male,1963-12-28,Gdynia,246306,Gdynia,246306,Health associate professionals,"Electronics,Writing,Baseball",29,278,In relationship,5,Mastercard
466,0,Emilia,female,1971-11-28,Barcin,7516,Wrocław,638586,Electrical and electronic trades workers,Sculling,84,375,Married,4,Visa
467,0,Feliks,male,1949-04-29,Debrzno,5152,Debrzno,5152,Assemblers,,59,58,In relationship,3,Mastercard
468,0,Arnolf,male,1970-06-30,Grajewo,22049,Grajewo,22049,Electrical and electronic trades workers,"Weightlifting,Sculling",78,351,Married,4,Visa
469,0,Eulalia,female,1966-10-28,Biała Podlaska,57545,Biała Podlaska,57545,Assemblers,Kabaddi,,177,Single,3,Mastercard
470,1,Błażej,male,,Łomża,63092,Konstantynów Łódzki,18013,Commissioned armed forces officers,"Cardio,Cooking",83,224,Married with kids,4,Revolut
471,0,Egon,male,1990-02-19,Częstochowa,224376,Częstochowa,224376,"Metal, machinery and related trades workers","Gym,Stretching,Basketball,Beekeeping",56,0,In relationship,2,Visa
472,0,Brygida,,1969-04-20,Gdynia,246306,Gdynia,246306,Science and engineering professionals,,9,83,Married with kids,1,Mastercard
473,0,Izolda,female,2000-12-18,Bolków,5047,Bolków,5047,Non-commissioned armed forces officers,"Gym,Bodybuilding,Skydiving,Coffee roasting,Skiing",50,104,Married with kids,3,Visa
474,1,Franciszka,female,,Włocławek,111752,Włocławek,111752,"Labourers in mining, construction, manufacturing and transport","Weightlifting,Squash,Gym,Astronomy",,237,Married with kids,6,Visa
475,1,Erwina,female,2000-03-18,Wilamowice,3065,Wilamowice,3065,Stationary plant and machine operators,Weightlifting,84,226,Married,4,Mastercard
476,0,Gerard,male,1966-11-08,Namysłów,16360,Namysłów,16360,Information and communications technicians,"Fitness,Playing musical instruments,Sailing,Vehicle restoration",5,86,Married,3,Mastercard
477,0,Izyda,female,1972-12-21,Warszawa,1764615,Wałbrzych,113621,Health associate professionals,,34,352,In relationship,3,
478,0,Aniela,,1988-03-27,Bielawa,30207,Kraków,767348,Business and administration professionals,"Squash,Stretching,Knife making,Geocaching,Photography",46,205,In relationship,5,Mastercard
479,1,Daniel,male,,Tarnowskie Góry,61262,Czerwieńsk,4094,Business and administration associate professionals,"Badminton,Kettleballs,Jogging",0,198,Single,4,Visa
480,0,Aleksandra,female,1978-08-26,Nowy Dwór Mazowiecki,28637,Skierniewice,48308,"Hospitality, retail and other services managers",,16,156,,2,American Express
481,0,Aurelian,male,1984-08-22,Inowrocław,73577,Świętochłowice,50385,Business and administration professionals,"Vacation,Sculpting",34,102,Married with kids,3,
482,0,Ambroży,male,1982-10-29,Bydgoszcz,352313,Bydgoszcz,352313,"Building and related trades workers, excluding electricians",Sewing,4,110,,3,Mastercard
483,1,Gerarda,female,1987-12-07,Łódź,690422,Sosnowiec,204013,Handicraft and printing workers,"Squash,Badminton,Rowing,amateur radio,Air sports",,134,In relationship,,Mastercard
484,1,Alfred,male,1996-10-07,Warszawa,1764615,Siemianowice Śląskie,67523,Health associate professionals,,91,167,Single,6,
485,0,Halina,female,1976-07-24,Sulejówek,19663,Rypin,16482,"Chief executives, senior officials and legislators","Knife making,tabletop games,Roller skating",,196,,4,
486,0,Donata,female,1983-09-07,Strzelce Opolskie,18057,Opole,128140,"Legal, social and cultural professionals",Crossfit,68,150,Married,4,Visa
487,0,Dobrawa,female,1961-06-01,Kraków,767348,Kraków,767348,Health professionals,"Model building,Jigsaw puzzles,Skiing",19,363,Married with kids,2,Visa
488,0,Izabela,,1976-03-28,Morąg,13994,Kraków,767348,"Food processing, wood working, garment and other craft and related trades workers","Dance,Shooting",,271,Married with kids,6,Mastercard
489,1,Arnold,male,1975-07-31,Koszalin,107670,Koszalin,107670,"Legal, social, cultural and related associate professionals","Gym,Badminton,Cosplaying,Inline skating,Digital arts",86,203,In relationship,,Visa
490,0,Bartosz,male,1985-08-08,Skawina,24325,Skawina,24325,Other clerical support workers,Candle making,88,234,Single,2,Mastercard
491,0,Ernest,male,1973-01-14,Szczecin,403883,Szczecin,403883,Street and related sales and service workers,"Shooting,Knife making",32,92,Married with kids,5,Mastercard
492,0,Eligiusz,male,1999-10-19,Sławno,12590,Sławno,12590,"Market-oriented skilled forestry, fishery and hunting workers","Kettleballs,Coffee roasting,Leather crafting",58,133,Married with kids,5,Mastercard
493,1,Arkady,male,1989-08-14,Marki,32686,Marki,32686,Non-commissioned armed forces officers,"Squash,Table tennis,Worldbuilding",4,224,In relationship,5,Visa
494,1,Adalbert,male,2000-11-09,Warszawa,1764615,Czarne,5983,Information and communications technicians,,30,193,Single,3,Mastercard
495,0,Brunon,male,1958-09-23,Kraśnik,34821,Wisła,11106,Health associate professionals,"Community,Urban exploration",32,85,In relationship,5,
496,0,Egon,male,1985-06-12,Wejherowo,49927,Wejherowo,49927,Information and communications technology professionals,,,347,Married,4,Mastercard
497,0,Emilia,female,,Kościerzyna,23809,Kostrzyn nad Odrą,17918,Refuse workers and other elementary workers,"Stretching,Rock climbing",56,50,Divorced,5,Visa
498,0,Izyda,female,1980-07-10,Przeworsk,15452,Zgierz,56690,Business and administration professionals,"Badminton,Ghost hunting,Flying",,112,Married,3,Visa
499,0,Aniela,,,Wysokie Mazowieckie,9390,Wysokie Mazowieckie,9390,General and keyboard clerks,"Fitness,Gym,Slacklining,Playing musical instruments,role-playing games",93,209,Married,5,Mastercard
500,0,Bernardeta,female,1971-11-11,Łódź,690422,Garwolin,17381,Science and engineering associate professionals,"Lego building,Poi",23,216,Single,3,Mastercard
501,0,Dianna,female,1953-07-16,Kalisz Pomorski,4399,Kalisz Pomorski,4399,Handicraft and printing workers,Book restoration,28,281,In relationship,4,Visa
502,0,Iga,female,1982-06-28,Kraśnik,34821,Kraśnik,34821,Health professionals,"Rowing,Flower arranging,Playing musical instruments",25,262,,4,Visa
503,0,Agnieszka,female,1969-03-26,Chorzów,109021,Katowice,296262,Sales workers,,63,224,Divorced,5,Visa
504,1,Amadeusz,,1981-06-11,Oświęcim,38678,Oświęcim,38678,Stationary plant and machine operators,"Fitness,Bodybuilding,Archery,Yo-yoing",88,193,Single,2,Mastercard
505,0,Bolesław,male,1982-01-08,Wągrowiec,25607,Wągrowiec,25607,Cleaners and helpers,"Gym,Bodybuilding,Lego building,Cosplaying,Taxidermy",22,228,Divorced,5,Visa
506,0,Faustyn,,2001-08-21,Poznań,538633,Poznań,538633,"Labourers in mining, construction, manufacturing and transport",Kite flying,66,267,Married with kids,5,Visa
507,0,Eryk,male,1987-08-28,Świebodzin,21954,Warszawa,1764615,Non-commissioned armed forces officers,Calligraphy,4,8,Single,4,Visa
508,0,Aurela,female,1972-07-22,Warszawa,1764615,Warszawa,1764615,Business and administration associate professionals,"Gym,Lacemaking,Sand art",,125,Married,4,
509,0,Aurelian,male,1996-08-11,Lubaczów,12101,Lubaczów,12101,Non-commissioned armed forces officers,"Gunsmithing,Stand-up comedy,Coloring",30,285,Single,3,Mastercard
510,0,Bogusław,male,1966-07-28,Białystok,297288,Wałcz,25533,"Legal, social, cultural and related associate professionals",Skydiving,,206,In relationship,4,Revolut
511,0,Dianna,,1989-11-15,Legnica,100324,Lublin,339850,Commissioned armed forces officers,"Gym,Fitness,Bodybuilding,Cycling,Puzzles",89,537,In relationship,4,Mastercard
512,0,Adela,female,1986-02-28,Łapy,15689,Łapy,15689,Information and communications technicians,,66,126,Married,,Visa
513,0,Henryka,female,2000-04-03,Kosów Lacki,2120,Kosów Lacki,2120,Refuse workers and other elementary workers,"Badminton,Weightlifting,Reading",6,113,Married,4,Mastercard
514,0,Aurela,female,1985-03-25,Chorzów,109021,Chorzów,109021,Teaching professionals,"Jigsaw puzzles,Photography,Knapping",3,253,Married,2,Visa
515,1,Bernard,male,,Warszawa,1764615,Biała Podlaska,57545,Protective services workers,"Reading,Horseback riding",14,204,In relationship,3,
516,1,Franciszek,male,1996-07-07,Kraków,767348,Warszawa,1764615,Refuse workers and other elementary workers,"Rowing,Badminton,Cosplaying",58,170,In relationship,,Visa
517,0,Bonawentura,female,1982-06-18,Słupsk,91465,Słupsk,91465,"Metal, machinery and related trades workers","Rowing,Cooking,Cabaret",62,370,Married,,Visa
518,0,Ildefons,male,1975-05-12,Dzierżoniów,33653,Gdynia,246306,"Market-oriented skilled forestry, fishery and hunting workers","Squash,Vehicle restoration",80,260,Married,5,Visa
519,0,Angelina,female,1978-11-04,Słupsk,91465,Warszawa,1764615,Street and related sales and service workers,Table tennis,12,205,Married with kids,4,Visa
520,1,Ingeborga,female,1990-12-02,Lubień Kujawski,1391,Lubień Kujawski,1391,Information and communications technology professionals,"Cardio,Polo,Foraging,Book restoration",98,167,Single,4,Visa
521,1,Anita,female,1991-05-27,Rybnik,139129,Marki,32686,Information and communications technology professionals,"Gym,Power bike,Yo-yoing",52,152,Single,5,Mastercard
522,0,Bernardyn,,1974-03-17,Puławy,48114,Puławy,48114,Drivers and mobile plant operators,"Badminton,Rock climbing,Sports",73,255,Single,5,
523,0,Dalia,,1990-08-05,Piwniczna-Zdrój,5925,Piwniczna-Zdrój,5925,Business and administration associate professionals,"Knitting,Leather crafting,Bodybuilding",37,101,In relationship,3,Mastercard
524,0,Bonawentura,female,1955-04-01,Toruń,202562,Orzesze,20773,Food preparation assistants,"Badminton,Candle making,Letterboxing,Video gaming",64,268,Married,5,
525,0,Ida,female,1995-08-04,Chojnów,13573,Warszawa,1764615,Science and engineering associate professionals,"Board games,Gunsmithing,Video gaming",46,155,Married with kids,,Visa
526,1,Idzi,male,1987-07-17,Nowy Sącz,84041,Węgorzewo,11438,Customer services clerks,"Kettleballs,Singing,Book restoration,Roller skating",51,183,Single,2,Visa
527,0,Adela,female,1975-08-27,Józefów,20488,Zgorzelec,30738,Market-oriented skilled agricultural workers,Lacemaking,1,167,Married,1,Revolut
528,0,Bożena,female,1982-10-11,Kraków,767348,Kraków,767348,Numerical and material recording clerks,,48,364,Single,3,Visa
529,0,Bogumiła,female,1966-01-08,Warszawa,1764615,Jelenia Góra,80072,Information and communications technology professionals,"Rowing,Watching movies,Cycling",,57,In relationship,,Mastercard
530,0,Eulalia,,1949-09-01,Puławy,48114,Warszawa,1764615,"Building and related trades workers, excluding electricians",Squash,6,382,,5,Visa
531,1,Gracja,female,1988-09-16,Wrocław,638586,Poznań,538633,Protective services workers,,,186,Single,3,Visa
532,0,Diana,female,1985-02-03,Sopot,36533,Lublin,339850,Personal service workers,"Reading,Slacklining",62,165,Married,3,Mastercard
533,0,Anzelm,male,,Warszawa,1764615,Warszawa,1764615,"Subsistence farmers, fishers, hunters and gatherers",,98,214,In relationship,5,Visa
534,0,Idalia,female,1990-05-31,Warszawa,1764615,Warszawa,1764615,"Subsistence farmers, fishers, hunters and gatherers",Taekwondo,99,199,In relationship,2,Visa
535,0,Agata,female,,Katowice,296262,Poznań,538633,"Legal, social and cultural professionals",Rugby,87,213,In relationship,5,Visa
536,1,Adam,,1992-04-12,Kraków,767348,Radom,214566,Business and administration associate professionals,Knitting,84,176,In relationship,2,Visa
537,1,Arletta,female,,Mikołów,40423,Mikołów,40423,"Labourers in mining, construction, manufacturing and transport",Crossfit,40,210,In relationship,4,Visa
538,1,Herbert,,1969-06-29,Radom,214566,Reda,25102,"Legal, social and cultural professionals",Ghost hunting,78,178,In relationship,5,Visa
539,0,Bartłomiej,male,2001-03-28,Wodzisław Śląski,48345,Wodzisław Śląski,48345,Production and specialised services managers,Flag Football,95,123,Married,4,Visa
540,1,Izolda,female,2000-02-18,Marki,32686,Marki,32686,Sales workers,"Power bike,Cardio,Badminton,Wood carving",72,223,In relationship,,Revolut
541,0,Eryk,male,1980-02-21,Warszawa,1764615,Warszawa,1764615,Electrical and electronic trades workers,"Rowing,Blacksmithing",32,220,In relationship,6,
542,1,Broniszław,male,1976-07-21,Białystok,297288,Białystok,297288,Cleaners and helpers,,97,214,Single,2,Mastercard
543,0,Arlena,,1969-05-07,Olsztyn,173070,Orzysz,5615,Science and engineering professionals,"Crossfit,Gunsmithing,Book restoration",71,144,,4,Visa
544,0,Aleksander,male,1978-09-20,Krasnystaw,18912,Wągrowiec,25607,"Agricultural, forestry and fishery labourers","Cardio,Cosplaying,Swimming",41,195,,5,Visa
545,0,Ada,female,1961-11-16,Piotrków Trybunalski,74312,Poznań,538633,Administrative and commercial managers,Bird watching,8,211,Married,2,Mastercard
546,0,Emiliana,female,1985-01-22,Włocławek,111752,Włocławek,111752,"Building and related trades workers, excluding electricians","Bodybuilding,Horseback riding,Foraging",44,328,Married with kids,5,Revolut
547,0,Ernest,male,1968-01-18,Sosnowiec,204013,Bydgoszcz,352313,Information and communications technicians,,,124,Married,3,Mastercard
548,0,Dawid,male,,Warszawa,1764615,Szczecin,403883,"Legal, social and cultural professionals","Rock climbing,Brazilian jiu-jitsu",79,201,In relationship,4,Mastercard
549,1,Dymitr,male,1973-12-10,Chorzów,109021,Chorzów,109021,Sales workers,,,105,In relationship,5,Visa
550,0,Ambroży,male,1960-06-12,Mysłowice,74647,Rzeszów,189662,Health professionals,"Mycology,Taekwondo",,107,Married with kids,6,Mastercard
551,1,Ambroży,male,1981-12-28,Warszawa,1764615,Suwałki,69554,Non-commissioned armed forces officers,"Stretching,Bodybuilding,Knapping",55,157,Single,4,Visa
552,0,Filip,,1980-06-07,Knurów,38594,Baborów,2933,Teaching professionals,scrapbook,42,181,In relationship,6,Visa
553,0,Gracja,female,,Lublin,339850,Lublin,339850,Science and engineering associate professionals,"Gym,Nordic skating,Playing musical instruments",66,233,In relationship,,Mastercard
554,0,Emilia,female,1991-01-25,Ostrów Mazowiecka,22656,Ostrów Mazowiecka,22656,Health associate professionals,"Rowing,Jigsaw puzzles,LARPing,Calligraphy",81,95,Married with kids,5,Mastercard
555,0,Baltazar,male,1956-03-28,Gryfice,16600,Kraków,767348,Assemblers,"Singing,Lego building",79,281,Married with kids,4,Visa
556,0,Arnold,male,1988-08-24,Oława,32883,Oława,32883,Commissioned armed forces officers,Jogging,57,93,In relationship,3,Visa
557,0,Felicja,female,1967-02-11,Szczecin,403883,Gryfice,16600,"Legal, social and cultural professionals","Glassblowing,Sailing",60,38,In relationship,5,Mastercard
558,0,Daria,female,1982-01-28,Katowice,296262,Katowice,296262,Numerical and material recording clerks,Bird watching,28,264,In relationship,,Visa
559,0,Arnold,,1969-04-11,Kobyłka,23120,Recz,2930,Stationary plant and machine operators,"Badminton,Electronics",81,285,In relationship,3,Mastercard
560,1,Emiliana,female,2000-03-17,Jastrzębie-Zdrój,89590,Białystok,297288,Sales workers,"Stretching,Squash,Metal detecting",47,92,,3,Mastercard
561,0,Greta,female,1972-03-28,Białobrzegi,7015,Białobrzegi,7015,Health professionals,"Badminton,Cryptography,Water sports",84,216,In relationship,4,Visa
562,0,Helena,,1999-06-02,Gdańsk,464254,Gdańsk,464254,Information and communications technology professionals,"Skimboarding,Polo,Paintball",7,263,Married,5,Visa
563,0,Eugeniusz,male,1971-09-23,Cieszyn,34876,Cieszyn,34876,Teaching professionals,"Cardio,Woodworking",45,143,In relationship,6,Mastercard
564,0,Bernardyna,female,,Stargard,68195,Stargard,68195,Business and administration associate professionals,"Taekwondo,Drawing",23,106,Divorced,6,Mastercard
565,1,Emanuel,male,1982-05-23,Tuchola,13793,Tuchola,13793,Electrical and electronic trades workers,"Kettleballs,Squash,Rowing",17,193,Single,5,Visa
566,1,Gracja,female,1987-12-15,Warszawa,1764615,Warszawa,1764615,"Chief executives, senior officials and legislators",Stretching,62,144,In relationship,1,Mastercard
567,1,Aureliusz,male,1979-03-12,Wieliczka,22946,Wieliczka,22946,Non-commissioned armed forces officers,"Stretching,Do it yourself",,166,Single,5,Revolut
568,0,Agata,female,1966-01-08,Wronki,11293,Wronki,11293,"Food processing, wood working, garment and other craft and related trades workers","Crossfit,Kayaking",52,177,,3,Revolut
569,0,Filip,male,,Sosnowiec,204013,Zielona Góra,139819,Other clerical support workers,,48,0,Married with kids,,Visa
